Tornado Number per Year,Year,Month,Day,Date,Time,TimeZone,State,State FIPS Number,Number of Tornado per State per Year,Magnitude,Injuries,Fatalities,Property Loss ($),Crop Loss (millions $),Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Length (miles),Width (yards),fc,Zip Code
438010,2013,4,10,4/10/2013,19:58:00,3,MO,29,0,0,0,0,0.02,0.0,36.69,-90.32,36.71,-90.3,1.73,75,0,63901
438011,2013,4,10,4/10/2013,20:05:00,3,MO,29,0,0,0,0,0.04,0.0,36.8,-90.13,36.81,-90.1,1.53,50,0,63936
439748,2013,4,11,4/11/2013,10:35:00,3,MS,28,0,3,9,1,1.2,0.0,32.64,-88.87,33.41,-88.2,66.35,1320,0,39325
435731,2013,4,11,4/11/2013,12:05:00,3,LA,22,0,1,0,0,0.1,0.0,30.28,-89.89,30.35,-89.77,8.76,120,0,70445
449838,2013,4,11,4/11/2013,13:45:00,3,AL,1,0,1,0,0,0.0,0.0,33.92,-87.54,33.96,-87.46,5.49,500,0,35549
449840,2013,4,11,4/11/2013,13:57:00,3,AL,1,0,1,0,0,0.0,0.0,34.01,-87.43,34.03,-87.39,2.63,250,0,35578
449841,2013,4,11,4/11/2013,14:10:00,3,AL,1,0,1,0,0,0.0,0.0,34.14,-87.32,34.16,-87.32,1.17,300,0,35553
449842,2013,4,11,4/11/2013,14:26:00,3,AL,1,0,1,1,0,0.0,0.0,34.19,-87.12,34.2,-87.12,0.38,50,0,35541
449847,2013,4,11,4/11/2013,15:18:00,3,AL,1,0,1,0,0,0.0,0.0,32.85,-87.17,33.0,-86.88,20.16,800,0,35042
448848,2013,4,11,4/11/2013,15:20:00,3,AL,1,0,1,0,0,0.0,0.0,34.61,-86.64,34.67,-86.54,6.58,300,0,35808
448850,2013,4,11,4/11/2013,15:32:00,3,AL,1,0,1,0,0,0.0,0.0,34.7,-86.5,34.71,-86.49,1.34,75,0,35741
444574,2013,4,11,4/11/2013,16:23:00,3,GA,13,0,0,0,0,0.03,0.0,33.67,-85.31,33.73,-85.24,5.7,150,0,30182
435326,2013,4,11,4/11/2013,16:29:00,3,AL,1,0,1,0,0,1.5,0.0,30.51,-88.15,30.52,-88.13,0.81,75,0,36582
444584,2013,4,11,4/11/2013,17:01:00,3,GA,13,0,0,0,0,0.01,0.0,33.99,-85.0,33.99,-84.99,0.36,25,0,30153
444568,2013,4,11,4/11/2013,19:23:00,3,GA,13,0,1,0,0,0.33,0.0,34.45,-83.93,34.49,-83.87,4.07,250,0,30533
449849,2013,4,11,4/11/2013,19:34:00,3,AL,1,0,2,1,0,0.0,0.0,32.53,-85.74,32.6,-85.69,5.09,200,0,36866
439373,2013,4,13,4/13/2013,14:30:00,3,TX,48,0,0,0,0,0.0,0.0,30.3,-103.78,30.26,-103.77,2.61,300,0,79830
434389,2013,4,14,4/14/2013,13:30:00,3,FL,12,0,0,0,0,0.02,0.0,29.75,-84.89,29.75,-84.86,1.86,10,0,32328
434975,2013,4,14,4/14/2013,18:42:00,3,FL,12,0,0,0,0,0.0,0.0,28.38,-80.74,28.38,-80.74,0.33,100,0,32922
434978,2013,4,14,4/14/2013,19:11:00,3,FL,12,0,0,0,0,0.0,0.0,28.27,-80.75,28.27,-80.74,0.55,100,0,32955
445853,2013,4,17,4/17/2013,16:31:00,3,MO,29,0,1,0,0,0.0,0.0,39.38,-92.12,39.44,-92.01,7.45,70,0,65240
445861,2013,4,17,4/17/2013,16:35:00,3,MO,29,0,0,0,0,0.0,0.0,39.4,-92.06,39.4,-92.06,0.07,40,0,65275
445869,2013,4,17,4/17/2013,17:00:00,3,MO,29,0,0,0,0,0.0,0.0,39.59,-91.8,39.59,-91.79,0.45,60,0,63456
446456,2013,4,17,4/17/2013,17:50:00,3,OK,40,0,0,0,0,0.2,0.0,34.58,-98.56,34.6,-98.51,3.41,100,0,73527
446473,2013,4,17,4/17/2013,19:03:00,3,TX,48,0,0,0,0,0.01,0.0,34.17,-98.98,34.18,-98.96,1.03,100,0,76364
446474,2013,4,17,4/17/2013,19:11:00,3,TX,48,0,0,0,0,0.0,0.0,34.2,-98.97,34.2,-98.97,0.16,100,0,76364
446459,2013,4,17,4/17/2013,19:35:00,3,OK,40,0,1,0,0,0.5,0.0,34.27,-98.8,34.25,-98.71,5.21,200,0,73553
